what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1343057803444
started,bundle,org.jboss.ide.eclipse.archives.core,3.2.1.v20120611-1725-H88-Final,"org.jboss.ide.eclipse.archives.core",1343057804457
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343057804538
started,bundle,org.jboss.ide.eclipse.archives.webtools,2.3.0.v20120615-1559-H138-Final,"org.jboss.ide.eclipse.archives.webtools",1343057804542
started,bundle,org.jboss.ide.eclipse.as.wtp.core,2.3.0.v20120615-1559-H138-Final,"org.jboss.ide.eclipse.as.wtp.core",1343057804610
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343057804717
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343057804717
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1343057805032
error,log,,,"Errors occurred during the build.",1343057805171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343057805264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343057805469
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1343057806233
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1343057806402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343057806744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343057806917
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1343057808887
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1343057809016
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1343057809111
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343057809112
